abandon|từ bỏ, bỏ rơi|desert, forsake, leave
compromise|thỏa hiệp|concession, settlement, agreement, adjust
compulsory|bắt buộc|mandatory, obligatory, required, enforced
conceal|che giấu|hide, cover, disguise, mask, camouflage
concede|thừa nhận, nhượng bộ|admit, acknowledge, yield, grant, accept
conceited|tự phụ, kiêu ngạo|arrogant, vain, proud, egotistical, haughty
conceive|tưởng tượng, hình thành|imagine, think up, devise, formulate, design
concentrate|tập trung|focus, center, gather, intensify
concept|khái niệm, ý tưởng|idea, notion, thought, theory, view
concern|lo lắng, liên quan|worry, anxiety, interest, matter, care
concise|ngắn gọn, súc tích|brief, short, succinct, pithy, compact
conclude|kết luận, kết thúc|finish, end, terminate, infer, deduce
concur|đồng tình, trùng hợp|agree, coincide, consent, approve
condemn|lên án, chỉ trích|denounce, criticize, censure, doom, blame
condense|làm đặc, tóm tắt|compress, shorten, abridge, summarize
condition|điều kiện, trạng thái|state, situation, status, requirement, terms
conduct|hành vi, điều khiển|behavior, action, manage, direct, guide
confer|bàn bạc, phong tặng|consult, discuss, grant, bestow, award
confess|thú nhận|admit, acknowledge, own up, reveal
confident|tự tin, chắc chắn|assured, certain, bold, sure, optimistic
confine|giam giữ, hạn chế|restrict, limit, imprison, enclose, bound
confirm|xác nhận|verify, validate, corroborate, prove, substantiate
conflict|xung đột, cuộc chiến|clash, fight, dispute, disagreement, struggle
conform|tuân thủ, làm cho phù hợp|comply, obey, adapt, fit, follow
confound|làm bối rối|confuse, baffle, perplex, astound, bewilder
confront|đối mặt, đương đầu|face, encounter, defy, oppose, tackle
confuse|làm lộn xộn, rối trí|perplex, bewilder, puzzle, baffle, disorient
congenial|hợp nhau, dễ mến|friendly, pleasant, agreeable, compatible
congested|đông nghẹt, tắc nghẽn|crowded, packed, jammed, blocked
congratulate|chúc mừng|compliment, praise, felicitate, commend
congregate|tập hợp, tụ họp|gather, assemble, collect, muster
connect|kết nối|join, link, attach, unite, combine
conquer|chinh phục, đánh bại|defeat, overcome, vanquish, beat, master
conscientious|chu đáo, tận tâm|scrupulous, thorough, diligent, careful, honest
conscious|tỉnh táo, nhận thức được|aware, mindful, awake, intentional, cognizant
consecutive|liên tiếp, liền kề|successive, continuous, sequential, running
consent|bằng lòng, sự cho phép|agreement, permission, approval, assent, comply
consequence|hậu quả, kết quả|result, outcome, effect, aftermath
conservative|tự vệ, bảo thủ|traditional, cautious, conventional, orthodox
consider|xem xét, cân nhắc|think about, ponder, contemplate, reflect, weigh
considerate|chu đáo, ân cần|thoughtful, kind, attentive, unselfish
consistent|nhất quán, kiên định|steady, constant, uniform, dependable, logical
console|an ủi|comfort, soothe, solace, cheer
conspicuous|dễ thấy, lộ liễu|noticeable, obvious, prominent, visible, clear
constant|liên tục, không đổi|continuous, steady, permanent, eternal, fixed
constitute|cấu thành, tạo nên|compose, form, make up, establish
constrain|bắt ép, kiềm chế|restrict, limit, force, compel, restrain
construct|xây dựng|build, erect, create, assemble, manufacture
consult|tham khảo, hỏi ý kiến|advise, confer, ask, discuss
consume|tiêu thụ, ăn uống|use, eat, drink, deplete, exhaust
contagious|truyền nhiễm, lây lan|infectious, catching, spreading, transmissible
contain|chứa đựng, kiểm soát|hold, include, comprise, restrain, limit
contaminate|làm ô nhiễm|pollute, defile, taint, corrupt, spoil
contemplate|suy ngẫm, dự định|ponder, consider, meditate, intend
contemporary|đương đại, cùng thời|modern, current, present, coexisting
contempt|sự khinh bỉ, coi thường|scorn, disdain, disrespect, mockery
contend|tranh giành, khẳng định|compete, vie, assert, argue, maintain
content|hài lòng, nội dung|satisfied, pleased, happy, substance, matter
contest|cuộc thi, tranh biện|competition, match, dispute, challenge, fight
continual|liên miên, lặp đi lặp lại|frequent, recurrent, constant, repeated
continue|tiếp tục|proceed, persist, resume, endure, maintain
continuous|liên tục không ngắt quãng|uninterrupted, constant, endless, perpetual
contort|vặn vẹo, bóp méo|twist, deform, distort, warp
contract|hợp đồng, co lại|agreement, shrink, diminish, reduce, compress
contradict|mâu thuẫn, phủ nhận|deny, oppose, dispute, counter, gainsay
contrary|trái ngược|opposite, converse, reverse, adverse
contrast|sự tương phản|difference, comparison, distinction, variation
contribute|đóng góp|donate, give, provide, assist, supply
contrive|bày mưu, xoay xở|devise, invent, scheme, manage, engineer
control|kiểm soát, điều khiển|manage, govern, direct, rule, restrain
controversial|gây tranh cãi|disputable, debatable, arguable, contentious
convene|triệu tập, họp|gather, assemble, summon, meet
convenient|tiện lợi, thích hợp|handy, useful, suitable, accessible, appropriate
conventional|thông thường, truyền thống|traditional, customary, standard, normal
conversant|thông thạo, quen thuộc|familiar, experienced, skilled, versed
conversation|cuộc hội thoại|talk, chat, discussion, dialogue, discourse
convert|chuyển đổi|change, transform, turn, alter, modify
convey|truyền đạt, vận chuyển|transmit, communicate, carry, transport, bear
convict|kết án, người tù|prisoner, condemn, sentence, find guilty
convince|thuyết phục|persuade, assure, satisfy, win over
convivial|vui vẻ, thích yến tiệc|festive, sociable, jovial, gay, lively
cool|mát mẻ, điềm tĩnh|chilly, calm, composed, aloof, unexcited
cooperate|hợp tác|collaborate, assist, combine, work together
copious|dồi dào, phong phú|abundant, plentiful, ample, profuse
cordial|thân ái, chân thành|friendly, warm, sincere, gracious, hearty
core|cốt lõi, trung tâm|center, heart, middle, essence, nucleus
correct|chính xác, sửa sai|accurate, right, true, rectify, amend
corroborate|xác minh, làm chứng|confirm, verify, back up, substantiate
corrupt|hối lộ, đồi bại|dishonest, crooked, tainted, bribe, deprave
cosmopolitan|thuộc toàn thế giới|international, worldly, sophisticated, global
costly|đắt đỏ|expensive, dear, high-priced, valuable
counsel|lời khuyên, luật sư|advice, guidance, lawyer, advisor, recommend
counter|chống lại, quầy hàng|oppose, resist, table, retaliate, contradict
counterfeit|giả mạo|fake, forged, false, sham, bogus
courage|lòng dũng cảm|bravery, valor, fearlessness, boldness
courteous|lịch sự, nhã nhặn|polite, civil, respectful, well-mannered
covenant|bản giao kèo, hiệp ước|agreement, contract, pact, treaty, bond
cover|che phủ, bao bọc|hide, protect, coat, blanket, conceal
covert|lén lút, vụng trộm|secret, hidden, stealthy, clandestine
covet|thèm muốn, thèm khát|desire, crave, long for, yearn for
cowardly|nhát gan, hèn nhát|timid, fearful, faint-hearted, craven
cozy|ấm áp, thoải mái|comfortable, warm, snug, homelike
crafty|mưu mô, xảo quyệt|sly, cunning, artful, wily, shrewd
crave|khao khát|desire, yearn, long for, covet
crazy|điên cuồng, ngớ ngẩn|insane, mad, foolish, wild, nuts
create|sáng tạo, tạo ra|make, produce, generate, invent, originate
credible|đáng tin cậy|believable, trustworthy, reliable, plausible
credit|tín dụng, lòng tin|trust, belief, praise, honor, merit
credulous|nhẹ dạ, cả tin|gullible, naive, trusting, unsuspecting
creed|tín ngưỡng, đức tin|belief, faith, doctrine, dogma
creep|bò, trườn|crawl, slither, sneak, slip
crime|tội phạm, tội ác|offense, sin, wrongdoing, felony, misdeed
cripple|làm tàn phế|disable, paralyze, lame, maim, ruin
crisis|cuộc khủng hoảng|emergency, disaster, turning point, predicament
criterion|tiêu chuẩn|standard, benchmark, measure, gauge, norm
criticize|chỉ trích, phê bình|censure, blame, condemn, find fault with
crooked|bị cong, quanh co, gian lận|bent, curved, dishonest, twisted, deformed
crowd|đám đông|throng, multitude, gathering, pack
crucial|cốt cốt, cực kỳ quan trọng|critical, essential, vital, important, decisive
crude|thô lỗ, thô sơ|rough, raw, unrefined, vulgar, primitive
cruel|độc ác, tàn nhẫn|brutal, savage, merciless, harsh, unkind
crush|nghiền nát|smash, squeeze, suppress, break
cry|khóc, kêu la|weep, sob, shout, yell, wail
cryptic|bí ẩn, khó hiểu|mysterious, hidden, secret, puzzling, obscure
culminate|đạt đỉnh điểm|peak, climax, end, conclude
culpable|có tội, đáng trách|blameworthy, guilty, censurable, answerable
cultivate|gieo trồng, trau dồi|farm, grow, foster, develop, nurture
cunning|gian xảo, láu cá|sly, crafty, shrewd, artful, wily
curb|kiềm chế, nén lại|restrain, limit, control, check, repress
cure|chữa trị|heal, remedy, treat, restore
curious|tò mò, kỳ lạ|inquisitive, interested, strange, odd, peculiar
curt|cộc lốc, cụt ngủn|abrupt, blunt, short, brief, brusque
curtail|cắt bớt, giảm bớt|reduce, shorten, diminish, cut, decrease
custom|phong tục, thói quen|habit, tradition, practice, usage
cynical|hoài nghi, bi quan|skeptical, pessimistic, sarcastic, distrustful
cabin|buồng, nhà gỗ nhỏ|hut, shack, cottage
campaign|chiến dịch|operation, movement, drive
candidate|ứng cử viên|applicant, nominee, contender
capital|thủ đô, vốn, chữ in hoa|funds, money, metropolis
capture|bắt giữ, đoạt được|catch, seize, arrest
career|nghề nghiệp, sự nghiệp|profession, occupation, vocation
cargo|hàng hóa (trên tàu, máy bay)|freight, load, shipment
casual|tình cờ, bình thường|informal, relaxed, occasional
catalyst|chất xúc tác, động lực|stimulus, incentive, spur
catastrophe|thảm họa|disaster, calamity, tragedy
cater|phục vụ, cung cấp thực phẩm|serve, provide, supply
ceiling|trần nhà, giới hạn|roof, overhead, limit
cemetery|nghĩa trang|graveyard, burial ground
census|cuộc điều tra dân số|survey, poll, count
century|thế kỷ|hundred years, era
cereal|ngũ cốc|grain, corn, oats
ceremony|nghi lễ, sự khách sáo|ritual, rite, formality
channel|kênh, eo biển|canal, strait, route
chaos|sự hỗn loạn|disorder, confusion, turmoil
character|tính cách, nhân vật|personality, nature, figure
charge|tính phí, sạc, buộc tội|bill, accuse, load
charity|hội từ thiện, lòng nhân hậu|philanthropy, donation, kindness
charter|hiến chương, thuê bao|constitution, hire, lease
chemistry|hóa học, sự hòa hợp|science, attraction, affinity
circuit|mạch điện, chu vi|loop, tour, track
civilian|thường dân|noncombatant, citizen, ordinary person
civilization|nền văn minh|culture, society, development
climate|khí hậu, hoàn cảnh|weather, atmosphere, environment
climax|đỉnh điểm, cao trào|peak, culmination, apex
clinic|phòng khám|dispensary, infirmary, hospital
clip|cắt xén, ghim|trim, cut, attach
cloak|áo choàng, che giấu|cape, wrap, conceal
clone|bản sao, nhân bản|copy, replica, duplicate
closure|sự đóng cửa, sự kết thúc|closing, end, conclusion
clue|manh mối, đầu mối|hint, trace, evidence
coalition|liên minh|alliance, partnership, union
coast|bờ biển|shore, beach, coastline
code|mật mã, quy tắc|cipher, rules, regulations
cognitive|liên quan đến nhận thức|mental, intellectual, perceptive
collateral|tài sản thế chấp, phụ trợ|security, guarantee, secondary
colony|thuộc địa, bầy đàn|settlement, community, flock
column|cột, mục (báo)|pillar, post, article
combat|chiến đấu, chống lại|fight, battle, tackle
comedy|hài kịch|humor, farce, sitcom
commerce|thương mại, buôn bán|trade, business, exchange
commission|tiền hoa hồng, hội đồng|fee, board, committee
committee|ủy ban|board, panel, group
commodity|hàng hóa|product, good, item
commute|đi lại đều đặn, giảm án|travel, journey, reduce
compatible|tương thích, hợp nhau|well-matched, suited, consistent
complicate|làm phức tạp|confuse, entangle, involve
compound|hợp chất, pha trộn|mixture, blend, complex
compute|tính toán|calculate, reckon, figure
comrade|đồng chí, chiến hữu|companion, ally, associate
confidential|bí mật, kín|secret, classified, private
configure|thiết lập, cấu hình|set up, arrange, shape
congress|đại hội, quốc hội|parliament, assembly, council
conscience|lương tâm|moral sense, scruples, principles
conserve|bảo tồn, giữ gìn|preserve, save, protect
consist|bao gồm, cốt ở|comprise, contain, include
conspire|âm mưu, đồng tình|plot, scheme, collude
constitution|hiến pháp, thể trạng|law, charter, health
constraint|sự ép buộc, hạn chế|restriction, limitation, force
contact|liên lạc, sự tiếp xúc|touch, connection, communication
context|ngữ cảnh, bối cảnh|situation, background, circumstances
continent|lục địa|landmass, mainland
coordinate|phối hợp, điều phối|organize, harmonize, synchronize
cope|đối phó, đương đầu|manage, deal with, survive
corporate|thuộc đoàn thể, công ty|business, commercial, combined
